director,first_actor,second_actor,third_actor,genres,movie_title,soup,overview
Sara Newens,Ariel Hsing,Xinhua Jiang,Michael Landers,Documentary,top spin,arielhsing xinhuajiang michaellanders saranewens Documentary,Three teenagers' quest to qualify for the 2012 US Olympic table tennis team.
Michael Moore,Michael Moore,Pat Boone,Bob Eubanks,Documentary,roger & me,michaelmoore patboone bobeubanks michaelmoore Documentary,"A documentary about the closure of General Motors' plant at Flint, Michigan, which resulted in the loss of 30,000 jobs. Details the attempts of filmmaker Michael Moore to get an interview with GM CEO Roger Smith."
Paul Schrader,Ed Begley Jr.,Ruby Dee,John Heard,Fantasy Horror Thriller,cat people,edbegleyjr. rubydee johnheard paulschrader Fantasy Horror Thriller,"After years of separation, Irina (Nastassja Kinski) and her minister brother, Paul (Malcolm McDowell), reunite in New Orleans in this erotic tale of the supernatural. When zoologists capture a wild panther, Irina is drawn to the cat -- and the zoo curator (John Heard) is drawn to her. Soon, Irina's brother will have to reveal the family secret: that when sexually aroused, they turn into predatory jungle cats."
Zal Batmanglij,Christopher Denham,James Urbaniak,Constance Wu,Drama Mystery Sci-Fi Thriller,sound of my voice,christopherdenham jamesurbaniak constancewu zalbatmanglij Drama Mystery Sci-Fi Thriller,A journalist and his girlfriend get pulled in while they investigate a cult whose leader claims to be from the future.
Lynn Shelton,Mark Duplass,Mike Birbiglia,Mel Eslyn,Comedy Drama,your sister's sister,markduplass mikebirbiglia meleslyn lynnshelton Comedy Drama,"Iris invites her friend Jack to stay at her family's island getaway after the death of his brother. At their remote cabin, Jack's drunken encounter with Hannah, Iris' sister, kicks off a revealing stretch of days."
David Hewlett,Christopher Judge,David Hewlett,Paul McGillion,Comedy,a dog's breakfast,christopherjudge davidhewlett paulmcgillion davidhewlett Comedy,"If you've never been good at anything in your life, why would murder be any different? Patrick (David Hewlett) has always had a somewhat combative relationship with his little sister Marilyn (Kate Hewlett), but when she brings home her new sci-fi soap star fiancé Ryan (Paul McGillion), it's all out war. When Patrick fails to drive a wedge between the happy couple, he reaches for sharper instruments."
George A. Romero,Judith O'Dea,Duane Jones,S. William Hinzman,Drama Horror Mystery,night of the living dead,juditho'dea duanejones s.williamhinzman georgea.romero Drama Horror Mystery,"A group of people try to survive an attack of bloodthirsty zombies while trapped in a rural Pennsylvania farmhouse. Although not the first zombie film, Night of the Living Dead is the progenitor of the contemporary ""zombie apocalypse"" horror film, and it greatly influenced the modern pop-culture zombie archetype."
Nate Parker,Jason Stuart,Nate Parker,Aunjanue Ellis,Biography Drama,the birth of a nation,jasonstuart nateparker aunjanueellis nateparker Biography Drama,"The Birth of A Nation is a silent film from 1915 and the highest grossing silent film in film history. The film tells a romance story during the American civil war. D.W. Griffith invested heavily in its high production values, pioneering many new camera effects. The Birth of a Nation was strongly protested for its negative portrayal of newly freed slaves (mostly white actors in blackface), which went on to create and propagate negative images of blacks of the early 20th century in the United States. The film was used as a recruiting propaganda by the KKK until the 1940s."
Alex Kendrick,Alex Kendrick,Erin Bethea,Shannen Fields,Drama Sport,facing the giants,alexkendrick erinbethea shannenfields alexkendrick Drama Sport,A losing coach with an underdog football team faces their giants of fear and failure on and off the field to surprising results.
Travis Cluff,Pfeifer Brown,Cassidy Gifford,Reese Mishler,Horror Thriller,the gallows,pfeiferbrown cassidygifford reesemishler traviscluff Horror Thriller,"20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone."
David Lynch,Hal Landon Jr.,Jack Nance,Charlotte Stewart,Fantasy Horror Sci-Fi,eraserhead,hallandonjr. jacknance charlottestewart davidlynch Fantasy Horror Sci-Fi,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child."
Robert Townsend,Robert Townsend,Keenen Ivory Wayans,Helen Martin,Comedy,hollywood shuffle,roberttownsend keenenivorywayans helenmartin roberttownsend Comedy,"Aspiring actor and hot-dog stand employee Bobby Taylor catches the ire of his grandmother for auditioning for a role in the regrettably titled exploitation film ""Jivetime Jimmy's Revenge."" When Tinseltown Studios casts Taylor in the title role, he has a series of conflicted dreams satirizing African-American stereotypes in Hollywood, and must reconcile his career goals with his desire to remain a positive role model for his little brother."
Peter Chelsom,Kieran Culkin,Elden Henson,Gena Rowlands,Comedy Drama,the mighty,kieranculkin eldenhenson genarowlands peterchelsom Comedy Drama,"This tells the story of a strong friendship between a young boy with Morquio's syndrome and an older boy who is always bullied because of his size. Adapted from the novel, Freak the Mighty, the film explores a building of trust and friendship. Kevin, an intelligent guy helps out Maxwell to improve his reading skills. In return, Kevin wants Maxwell to take him out places since he is not allowed out unauthorized. Being the social outcasts of the town, Kevin and Maxwell come to realize that they are similar to each other and accept that they are ""freaks"" and nothing will stop them."
Jamaa Fanaka,Leon Isaac Kennedy,Chuck Mitchell,Wilbur 'Hi-Fi' White,Crime Drama Sport,penitentiary,leonisaackennedy chuckmitchell wilbur'hi-fi'white jamaafanaka Crime Drama Sport,"A hitchhiker named Martel Gordone gets in a fight with two bikers over a prostitute, and one of the bikers is killed. Gordone is arrested and sent to prison, where he joins the prison's boxing team in an effort to secure an early parole and to establish his dominance over the prison's toughest gang."
Larry Blamire,Fay Masterson,Brian Howe,Larry Blamire,Comedy Horror Sci-Fi,the lost skeleton of cadavra,faymasterson brianhowe larryblamire larryblamire Comedy Horror Sci-Fi,"Remember the good old days when anyone with a camera and a few thousand bucks could schlep up to Bronson canyon and quickly make a cheap sci-fi/horror B-movie? Well, they're back! The Lost Skeleton of Cadavra is an affectionate, meticulous re-creation of those notoriously cheesy clunkers, as a gaggle of beloved stereotypes pursue ""that rarest of radioactive elements - atmospherium."""
E.L. Katz,Brighton Sharbino,Ethan Embry,Elissa Dowling,Comedy Crime Drama Horror Thriller,cheap thrills,brightonsharbino ethanembry elissadowling e.l.katz Comedy Crime Drama Horror Thriller,"Recently fired and facing eviction, a new dad has his life turned upside down when he meets a wealthy couple who offer a path to financial security... but at a price."
Lisanne Pajot,Jonathan Blow,Edmund McMillen,Phil Fish,Documentary,indie game: the movie,jonathanblow edmundmcmillen philfish lisannepajot Documentary,"Indie Game: The Movie is a feature documentary about video games, their creators and the craft. The film follows the dramatic journeys of video game developers as they create and release their games to the world. The film tells the emotional story of friends Edmund McMillen &amp; Tommy Refenes, as they craft their first Xbox game: ""Super Meat Boy"". It follows Phil Fish, the creator of the highly-anticipated game: ""FEZ"". After 4 years of working in near solitude, Phil reveals his opus to the public for the first time. And, the film tells the surprising story of one of the highest-rated video games of all time:""Braid"". The film is about making video games, but at its core, it's about the creative process, and exposing yourself through your work. In short: Making fun and games is anything but fun and games."
Dan Reed,Danny Dyer,Adam Rayner,Ralph Brown,Thriller,closure,dannydyer adamrayner ralphbrown danreed Thriller,"A documentary about a trans-racial adoptee who finds her birth mother, and meets the rest of a family who didn't know she existed, including her birth father.  A story about identity, the complexities of trans-racial adoption, and most importantly, CLOSURE."
John Reinhardt,Sheldon Leonard,John Ireland,Arthur O'Connell,Crime Drama,open secret,sheldonleonard johnireland arthuro'connell johnreinhardt Crime Drama,OPEN SECRET chronicles Steve Lickteig's 20-year search for who his real birth parents were; why a whole town kept the truth from him; and how his family's tumultuous history revolves around the hidden lives of two unconventional women.
Laslo Benedek,Liv Ullmann,Trevor Howard,Andrew Keir,Crime Horror Thriller,the night visitor,livullmann trevorhoward andrewkeir laslobenedek Crime Horror Thriller,"An insane Swedish farmer escapes from an asylum to get revenge on his sister, her husband and others."
Jason Miller,Jon Brion,Dottie Alexander,David Barnes,Biography Documentary Music,the past is a grotesque animal,jonbrion dottiealexander davidbarnes jasonmiller Biography Documentary Music,"A personal, accessible look at an artist - Kevin Barnes, frontman of the endlessly versatile indie pop band of Montreal - whose pursuit to make transcendent music at all costs drives him to value art over human relationships. As he struggles with all of those around him, family and bandmates alike, he's forced to reconsider the future of the band, begging the question - is this really worth it?"
Dennis Iliadis,Tony Goldwyn,Monica Potter,Martha MacIsaac,Crime Horror Thriller,the last house on the left,tonygoldwyn monicapotter marthamacisaac dennisiliadis Crime Horror Thriller,"Mari and Phyllis go to the ""big city"" to see their favorite band BloodLust. Along the way they meet up with newly escaped convict Krug and his gang."
Sut Jhally,Noam Chomsky,Seth Ackerman,Arik Ascherman,Documentary,"peace, propaganda & the promised land",noamchomsky sethackerman arikascherman sutjhally Documentary,"This video shows how the foreign policy interests of American political elites-working in combination with Israeli public relations stratgies-influence US news reporting about the Middle East conflict. Combining American and British TV news clips with observations of analysts, journalists and political activists, Peace, Propaganda &amp; the Promised Land provides a brief historical overview, a striking media comparison, and an examination of factors that have distorted U.S. media coverage and, in turn, American public opinion."
Darren Aronofsky,Mark Margolis,Clint Mansell,Stanley B. Herman,Drama Mystery Thriller,pi,markmargolis clintmansell stanleyb.herman darrenaronofsky Drama Mystery Thriller,The debut film from Darren Aronofsky in which a mathematical genius Maximilian Cohen discovers a link in the connection between numbers and reality and thus believes he can predict the future.
Julie Davis,Jack McGee,Meredith Scott Lynn,Tim DeZarn,Comedy Romance,"i love you, don't touch me!",jackmcgee meredithscottlynn timdezarn juliedavis Comedy Romance,"The story of a 25 year old virgin girl, looking for the right boyfriend, not realizing that ""the one"" has been next to her for many years."
Myles Berkowitz,Tia Carrere,Tom Ardavany,Robert McKee,Biography Comedy Romance,20 dates,tiacarrere tomardavany robertmckee mylesberkowitz Biography Comedy Romance,"Myles is divorced in L.A. He wants a love life and a film career. So he decides to go on 20 dates and find true love in front of a camera, making his first feature. His patient agent, Richard, finds a $60,000 investor, the shadowy Elie. Myles starts his search, sometimes telling his date she's being filmed, sometimes not. Elie wants sex and titillation, Myles wants it ""real."" Myles regularly talks with his old film teacher, Robert McKee, who wonders if love is possible in modern life. Half-way through the 20 dates, Myles meets Elisabeth; she's everything he desires and she likes him. Can he finish the 20 dates, satisfy Elie, and complete his film without losing Elisabeth?"
Morgan Spurlock,Chemeeka Walker,Amanda Kearsan,Amelia Giancarlo,Comedy Documentary Drama,super size me,chemeekawalker amandakearsan ameliagiancarlo morganspurlock Comedy Documentary Drama,"Morgan Spurlock subjects himself to a diet based only on McDonald's fast food three times a day for thirty days without exercising to try to prove why so many Americans are fat or obese. He submits himself to a complete check-up by three doctors, comparing his weight along the way, resulting in a scary conclusion."
Brandon Trost,Clifton Collins Jr.,Sean Whalen,James DeBello,Comedy,the fp,cliftoncollinsjr. seanwhalen jamesdebello brandontrost Comedy,"Two rival gangs fight for control of Frazier Park -- a deadly arena in competitive dance-fight video game ""Beat-Beat Revolution."""
Joe Swanberg,Anna Kendrick,Lena Dunham,Mark Webber,Comedy Drama,happy christmas,annakendrick lenadunham markwebber joeswanberg Comedy Drama,"After a breakup with her boyfriend, a young woman moves in with her older brother, his wife, and their 2-year-old son."
Joseph Green,Virginia Leith,Jason Evers,Bruce Kerr,Horror Sci-Fi,the brain that wouldn't die,virginialeith jasonevers brucekerr josephgreen Horror Sci-Fi,"Dr. Bill Cortner (Jason Evers) and his fiancée, Jan Compton (Virginia Leith), are driving to his lab when they get into a horrible car accident. Compton is decapitated. But Cortner is not fazed by this seemingly insurmountable hurdle. His expertise is in transplants, and he is excited to perform the first head transplant. Keeping Compton's head alive in his lab, Cortner plans the groundbreaking yet unorthodox surgery. First, however, he needs a body."
Wade Gasque,Ty Parker,Vincent Duvall,Loanne Bishop,Drama,tiger orange,typarker vincentduvall loannebishop wadegasque Drama,"In the small Central California town where they grew up, two estranged gay brothers struggle to reconnect after the recent death of their father."
Daniel Schechter,Lena Dunham,Kevin Corrigan,Alex Karpovsky,Comedy,supporting characters,lenadunham kevincorrigan alexkarpovsky danielschechter Comedy,Two New York film editors balance their personal relationships while reworking a movie in crisis.
Mike Flanagan,Justin Gordon,Courtney Bell,Erin Cipolletti,Drama Horror Mystery,absentia,justingordon courtneybell erincipolletti mikeflanagan Drama Horror Mystery,"Tricia's husband Daniel has been missing for seven years. Her younger sister Callie comes to live with her as the pressure mounts to finally declare him 'dead in absentia.' As Tricia sifts through the wreckage and tries to move on with her life, Callie finds herself drawn to an ominous tunnel near the house. As she begins to link it to other mysterious disappearances, it becomes clear that Daniel's presumed death might be anything but 'natural.' The ancient force at work in the tunnel might have set its sights on Callie and Tricia... and Daniel might be suffering a fate far worse than death in its grasp."
Edward Burns,Shari Albert,Michael McGlone,Maxine Bahns,Comedy Drama Romance,the brothers mcmullen,sharialbert michaelmcglone maxinebahns edwardburns Comedy Drama Romance,"Deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s. Directed, written, produced by and starring Edward Burns."
Matt Johnson,Paul Daniel Ayotte,Shailene Garnett,Matt Johnson,Crime Drama Thriller,the dirties,pauldanielayotte shailenegarnett mattjohnson mattjohnson Crime Drama Thriller,Two best friends are filming a comedy about getting revenge on the bullies at their high school. One of them isn't joking.
Bruno Barreto,Marcello Mastroianni,Sonia Braga,Joffre Soares,Comedy Drama Romance,gabriela,marcellomastroianni soniabraga joffresoares brunobarreto Comedy Drama Romance,"Mike is romantic and persistent, a social worker at a psychiatric clinic who falls for a new intern. Gabriela is passionate; she's also engaged; although her love for her fiance Patrick seems more fraternal than erotic, she has an overwhelming sense of obligation to marry him. Mike gets dubious counsel from a colleague, Douglas, who's seems to have a new relationship weekly, and from his unhappy brother. She gets advice from her supervisor, whose long-term marriage ended badly. Gabriela can't seem to say no to Mike, except when he asks her to end her engagement. She heads home to Mexico to introduce Patrick to her family. What's Mike to do? Will anything change her mind?"
Lena Dunham,Lena Dunham,Merritt Wever,Jemima Kirke,Comedy Drama Romance,tiny furniture,lenadunham merrittwever jemimakirke lenadunham Comedy Drama Romance,"After graduating from film school, Aura returns to New York to live with her photographer mother, Siri, and her sister, Nadine, who has just finished high school. Aura is directionless and wonders where to go next in her career and her life. She takes a job in a restaurant and tries unsuccessfully to develop relationships with men, including Keith, a chef where she works, and cult Internet star Jed."
Terron R. Parsons,Richard Tyson,Jeremy Sande,Corlandos Scott,Crime Drama Horror,hayride,richardtyson jeremysande corlandosscott terronr.parsons Crime Drama Horror,"A college student returning home for Halloween is forced to face his childhood fears when an escaped killer takes refuge in his family's ""Haunted Hayride""."
Daniel Mellitz,Corbin Bernsen,Chelse Swain,Amanda MacDonald,Comedy Drama,the naked ape,corbinbernsen chelseswain amandamacdonald danielmellitz Comedy Drama,"Somewhat based on Desmond Morris's fascinating book of pop anthropology, this partially animated satirical docudrama produced by Playboy Magazine publisher Hugh Hefner, traces the evolution of human kind and offers insight into the reasons why we behave the way we do. Though often dealing with sexuality, nothing in the film is terribly offensive or graphic. A prime example of mainstream experimental film-making from the early 70's featuring a young and breathtakingly lovely Victoria Principal."
Jem Cohen,unknown,unknown,unknown,Documentary,counting,unknown unknown unknown jemcohen Documentary,"An associative collection of visual impressions across fifteen chapters: a seagull in Porto, political posters in New York, an abstract painting in St. Petersburg, an abandoned video shop in Cairo and cats everywhere you look."
Andrew Leman,Dan Novy,David Mersault,Barry Lynch,Fantasy Horror Mystery Thriller,the call of cthulhu,dannovy davidmersault barrylynch andrewleman Fantasy Horror Mystery Thriller,"A dying professor leaves his great-nephew a collection of documents pertaining to the Cthulhu Cult. The nephew begins to learn why the study of the cult so fascinated his grandfather. Bit-by-bit he begins piecing together the dread implications of his grandfather's inquiries, and soon he takes on investigating the Cthulhu cult as a crusade of his own."
William Eubank,Lin Shaye,Olivia Cooke,Beau Knapp,Sci-Fi Thriller,the signal,linshaye oliviacooke beauknapp williameubank Sci-Fi Thriller,"A horror film told in three parts, from three perspectives, in which a mysterious transmission that turns people into killers invades every cell phone, radio, and television."
Patrick Meaney,Taliesin Jaffe,Greg Aronowitz,Jeff Dowd,Biography Documentary,the image revolution,taliesinjaffe gregaronowitz jeffdowd patrickmeaney Biography Documentary,"Twenty years ago, seven superstar artists left Marvel Comics to create their own company, Image Comics, a company that continues to influence mainstream comics and pop culture to this day. Image began as more than just a publisher - it was a response to years of creator mistreatment, and changed comics forever. The Image Revolution tells the story of Image Comics, from its founders' work at Marvel, through Image's early success, company difficulties during the comics market implosion, and ultimately the publisher's new generation of properties like The Walking Dead. Filled with colorful characters, the film is a clarion call to artists to take control of their destiny."
Chad Hartigan,Jan Haley,Paul Eenhoorn,Demetrius Grosse,Drama,this is martin bonner,janhaley pauleenhoorn demetriusgrosse chadhartigan Drama,"Two men, at opposite ends of the social spectrum, find themselves starting new lives in the same, small town and form an unlikely friendship."
David Gordon Green,Paul Schneider,Eddie Rouse,Damian Jewan Lee,Drama,george washington,paulschneider eddierouse damianjewanlee davidgordongreen Drama,A delicately told and deceptively simple story of a group of children in a depressed small town who band together to cover up a tragic mistake.
Kevin Jordan,Derick Martini,Christa Miller,Ion Overman,Comedy Romance,smiling fish & goat on fire,derickmartini christamiller ionoverman kevinjordan Comedy Romance,"Two brothers share a house in LA's Fairfax district: Tony's a feckless actor, Chris is an accountant. Both are in relationships on rocky ground. As these emotions swirl, Tony meets his US Postal Service letter carrier, a single mom named Kathy who's come to LA from Wyoming with her daughter, a budding actress. Chris meets Anna, an Italian beauty working in the States for a few months wrangling animals on movie sets. Chris also befriends Clive, an aging and crusty man whose longing for his recently-deceased wife is a portrait of true love. Can Clive's example help Chris sort out his love life, and can Tony grow up enough to see the possibilities with Kathy and her daughter?"
Martin Scorsese,Ringo Starr,Levon Helm,Bob Dylan,Documentary Music,the last waltz,ringostarr levonhelm bobdylan martinscorsese Documentary Music,"Martin Scorsese's rockumentary intertwines footage from ""The Band's"" incredible farewell tour with probing backstage interviews and featured performances by Eric Clapton, Bob Dylan, Joni Mitchell, Ringo Starr and other rock legends."
Bradley Rust Gray,Zoe Kazan,Mark Rendall,Jordan Scovel,Drama,the exploding girl,zoekazan markrendall jordanscovel bradleyrustgray Drama,"On a summer break from college, Ivy, a young epileptic woman, struggles to balance her feelings for her fledgling boyfriend while her friend Al crashes with her for the season."
Andrew Bujalski,Andrew Bujalski,Kate Dollenmayer,Justin Rice,Comedy,mutual appreciation,andrewbujalski katedollenmayer justinrice andrewbujalski Comedy,"Alan is a musician who leaves a busted-up band for New York, and a new musical voyage. He tries to stay focused and fends off all manner of distractions, including the attraction to his good friend's girlfriend. Film of the ""Mumblecore"" genre."
Ben Wheatley,Michael Smiley,Tony Way,David Schaal,Comedy Crime Drama,down terrace,michaelsmiley tonyway davidschaal benwheatley Comedy Crime Drama,"After serving jail time for a mysterious crime, Bill and Karl get out of jail and become preoccupied with figuring out who turned them in to the police. On top of that, the ""family business"" is on the rocks, and the motley crew of criminals who operate out of Down Terrace aren't feeling terribly trusting of one another. It might look like an ordinary house, but at Down Terrace, the walls are closing in.."
Kevin Smith,Jason Mewes,Brian O'Halloran,Jeff Anderson,Comedy,clerks,jasonmewes briano'halloran jeffanderson kevinsmith Comedy,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives."
James Bidgood,Don Brooks,Bobby Kendall,unknown,Drama Fantasy,pink narcissus,donbrooks bobbykendall unknown jamesbidgood Drama Fantasy,An erotic poem set in the fantasies of a young male prostitute.
Andrew Bujalski,Andrew Bujalski,Kate Dollenmayer,Justin Rice,Comedy Drama,funny ha ha,andrewbujalski katedollenmayer justinrice andrewbujalski Comedy Drama,"Unsure of what to do next, 23-year-old Marnie tries her best to navigate life after college in this romantic comedy. Still partying like there's no tomorrow, Marnie drags herself out of bed for her miserable temp job and can't decide whether she's wasting her time going after best buddy Alex, who doesn't seem to be interested."
Neil LaBute,Stacy Edwards,Matt Malloy,Jason Dixie,Comedy Drama,in the company of men,stacyedwards mattmalloy jasondixie neillabute Comedy Drama,"Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life."
David Ayer,Mireille Enos,Martin Donovan,Maurice Compte,Action Crime Drama Thriller,sabotage,mireilleenos martindonovan mauricecompte davidayer Action Crime Drama Thriller,"A Scotland Yard undercover detective is on the trail of a saboteur who is part of a plot to set off a bomb in London. But when the detective's cover is blown, the plot begins to unravel."
Eric Eason,Franky G,Panchito Gómez,Casper Martinez,Drama Family,manito,frankyg panchitogómez caspermartinez ericeason Drama Family,"Fifteen years ago, their Washington Heights neighborhood was dubbed the crack-cocaine capital of the world, but today it is transforming into one of the most vibrant, Spanish-speaking communities in the United States. While the drug dealers continue to disappear, their violent legacy still casts a shadow over the neighborhood and its residents. Junior, an ex-convict struggling to get his life back on track, is a product of this legacy. His younger brother Manny, the salutatorian of his high school class, embodies the hope of the future. On the night of his graduation party, Manny finds himself faced with an ill-fated decision that could change his life forever"
Uwe Boll,Matt Frewer,Katharine Isabelle,Michael Paré,Action Crime Thriller,rampage,mattfrewer katharineisabelle michaelparé uweboll Action Crime Thriller,"Rampage delves into the subject of legal insanity, so often the default defense in modern-time gruesome crime trials. Alex McArthur plays an outwardly normal guy who goes on incredible killing and mutilating sprees until (and even after, when he escapes for a short time) he's captured. When he comes to trial, the liberal DA (Michael Biehn) is torn between his own leftist leanings and the reality of the heinous crimes for which the accused is being tried. He must argue for the death penalty."
Richard Linklater,Tommy Pallotta,Richard Linklater,Jean Caffeine,Comedy Drama,slacker,tommypallotta richardlinklater jeancaffeine richardlinklater Comedy Drama,"Presents a day in the life in Austin, Texas among its social outcasts and misfits, predominantly the twenty-something set, using a series of linear vignettes. These characters, who in some manner just don't fit into the establishment norms, move seamlessly from one scene to the next, randomly coming and going into one another's lives."
Alex Kendrick,Shannen Fields,Lisa Arnold,Janet Lee Dapper,Drama,flywheel,shannenfields lisaarnold janetleedapper alexkendrick Drama,"Jay Austin wants to sell you a used car, but watch out! Many victims have fallen prey to his smiling face and hasty promises. Austin does everything his way until his dishonesty and manipulation are exposed. Like many men, he becomes disgusted by the masks he wears and the lies he tells. In every man's life, there can be a turning point. When Jay makes his turn, he never looks back."
Jay Duplass,Mark Duplass,Katie Aselton,Bari Hyman,Comedy Drama Romance,the puffy chair,markduplass katieaselton barihyman jayduplass Comedy Drama Romance,"Josh's life is pretty much in the toilet. He's a failed NYC indie rocker, and a failing booking agent. But he finds the potential of a small victory in a really bad idea. He decides to purchase a 1985 Lazy Boy on eBay, just like the one his dad had when Josh was a kid. He'll drive cross-country for the chair, staying with Emily at his brother's house on the way, and deliver it to his father as a surprise birthday gift. But when Rhett ends up coming along for the ride, it's three people and a giant purple puffy chair in a too-small van... and one of them has to go before the trip's end."
Daryl Wein,Zoe Lister-Jones,Heather Burns,Ebon Moss-Bachrach,Romance,breaking upwards,zoelister-jones heatherburns ebonmoss-bachrach darylwein Romance,"'Breaking Upwards' explores a young, real-life New York couple who, four years in and battling codependency, decide to intricately strategize their own break up. Based on an actual experiment devised by director/actor Daryl Wein and actress Zoe Lister-Jones, the film loosely interprets a year in their lives exploring alternatives to monogamy, and the madness that ensues. An uncensored look at young love, lust, and the pangs of codependency, 'Breaking Upwards' follows its characters as they navigate each others' emotions across the city they love. It begs the question: is it ever possible to grow apart together?"
Jason Trost,Sean Whalen,Jason Trost,Nick Principe,Sci-Fi Thriller,all superheroes must die,seanwhalen jasontrost nickprincipe jasontrost Sci-Fi Thriller,"Masked vigilantes Charge (Jason Trost), Cutthroat (Lucas Till), The Wall (Lee Valmassy), and Shadow (Sophie Merkley) are rendered powerless by their archenemy (James Remar) and are forced to complete a series of deadly tasks in order to save the lives of more than 100 innocent civilians. Should they fail or refuse to cooperate, the entire town will be destroyed. ~ Jason Buchanan, Rovi"
John Waters,Divine,Mink Stole,Edith Massey,Comedy Crime Horror,pink flamingos,divine minkstole edithmassey johnwaters Comedy Crime Horror,"Notorious Baltimore criminal and underground figure Divine goes up against Connie &amp; Raymond Marble, a sleazy married couple who make a passionate attempt to humiliate her and seize her tabloid-given title as ""The Filthiest Person Alive""."
Olivier Assayas,Maggie Cheung,Béatrice Dalle,Don McKellar,Drama Music Romance,clean,maggiecheung béatricedalle donmckellar olivierassayas Drama Music Romance,"After losing her husband to a heroin overdose, Emily Wang fights to overcome her own addictions and to be reconciled with her estranged son."
Kiyoshi Kurosawa,Kôji Yakusho,Anna Nakagawa,Denden,Crime Horror Mystery Thriller,the cure,kôjiyakusho annanakagawa denden kiyoshikurosawa Crime Horror Mystery Thriller,"Dexter, age 11, who has AIDS, and his next door neighbor Eric, a little older and much bigger, become best friends. Eric also becomes closer to Dexter's mother than to his own, who is neglectful and bigoted and violently forbids their friendship upon learning of it. Dexter and Erik start the journey to find ""The Cure"" they had read about in the local newspaper."
Ash Baron-Cohen,Peter Greene,Stanley B. Herman,James Noble,Crime Drama,bang,petergreene stanleyb.herman jamesnoble ashbaron-cohen Crime Drama,"A young woman in L.A. is having a bad day: she's evicted, an audition ends with a producer furious she won't trade sex for the part, and a policeman nabs her for something she didn't do, demanding fellatio to release her. She snaps, grabs his gun, takes his uniform, and leaves him cuffed to a tree where he's soon having a defenseless chat with a homeless man. She takes off on the cop's motorcycle and, for an afternoon, experiences a cop's life. She talks a young man out of suicide and then is plunged into violence after a friendly encounter with two ""vatos."" She is torn between self-protection and others' expectations. Is there any resolution for her torrent of feelings?"
Shane Carruth,Shane Carruth,David Sullivan,Casey Gooden,Drama Sci-Fi Thriller,primer,shanecarruth davidsullivan caseygooden shanecarruth Drama Sci-Fi Thriller,"Friends/fledgling entrepreneurs invent a device in their garage that reduces the apparent mass of any object placed inside it, but they accidentally discover that it has some highly unexpected capabilities -- ones that could enable them to do and to have seemingly anything they want. Taking advantage of this unique opportunity is the first challenge they face. Dealing with the consequences is the next."
Robert Rodriguez,Carlos Gallardo,Peter Marquardt,Consuelo Gómez,Action Crime Drama Romance Thriller,el mariachi,carlosgallardo petermarquardt consuelogómez robertrodriguez Action Crime Drama Romance Thriller,"El Mariachi just wants to play his guitar and carry on the family tradition. Unfortunately, the town he tries to find work in has another visitor...a killer who carries his guns in a guitar case. The drug lord and his henchmen mistake El Mariachi for the killer, Azul, and chase him around town trying to kill him and get his guitar case."
Edward Burns,Kerry Bishé,Caitlin FitzGerald,Daniella Pineda,Comedy Drama,newlyweds,kerrybishé caitlinfitzgerald daniellapineda edwardburns Comedy Drama,A newlywed couple's honeymoon is upended by the arrivals of their respective sisters.
Daniel Hsia,Alan Ruck,Daniel Henney,Eliza Coupe,Comedy Drama Romance,shanghai calling,alanruck danielhenney elizacoupe danielhsia Comedy Drama Romance,"When ambitious New York attorney Sam is sent to Shanghai on assignment, he immediately stumbles into a legal mess that could end his career. With the help of a beautiful relocation specialist, a well-connected old-timer, a clever journalist, and a street-smart legal assistant, Sam might just save his job, find romance, and learn to appreciate the beauty and wonders of Shanghai. Written by Anonymous  (IMDB.com)."
Jon Gunn,John August,Brian Herzlinger,Jon Gunn,Documentary,my date with drew,johnaugust brianherzlinger jongunn jongunn Documentary,"Ever since the second grade when he first saw her in E.T. The Extraterrestrial, Brian Herzlinger has had a crush on Drew Barrymore. Now, 20 years later he's decided to try to fulfill his lifelong dream by asking her for a date. There's one small problem: She's Drew Barrymore and he's, well, Brian Herzlinger, a broke 27-year-old aspiring filmmaker from New Jersey."
Joachim Rønning Espen Sandberg,Johnny Depp,Javier Bardem,Geoffrey Rush,Adventure Action Fantasy Comedy,pirates of the caribbean: dead men tell no tales,johnnydepp javierbardem geoffreyrush joachimrønningespensandberg Adventure Action Fantasy Comedy,"Thrust into an all-new paycheck, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of a payout lies in seeking out the legendary Trident of Numbers, but to find it, he must forge an uneasy alliance with a reasonably intelligent and pretty astronomer and a irritating young man in the British navy."
